馃摗  鏇存柊鏃ユ湡,#genre#
CHC褰辫糠鐢靛奖,rtsp://115.153.233.154/PLTV/88888888/224/3221226990/86128784.smil
CHC瀹跺涵褰遍櫌,rtsp://115.153.233.154/PLTV/88888888/224/3221226959/86128800.smil

CHC鍔ㄤ綔鐢靛奖,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy
CHC褰辫糠鐢靛奖,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy
CHC瀹跺涵褰遍櫌,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy


CCTV1,http://live.nctv.top/JKHdjsi/migu.php?id=cctv1
CCTV2,http://live.nctv.top/JKHdjsi/migu.php?id=cctv2
CCTV3,http://live.nctv.top/JKHdjsi/migu.php?id=cctv3
CCTV4,http://live.nctv.top/JKHdjsi/migu.php?id=cctv4
CCTV5,http://live.nctv.top/JKHdjsi/migu.php?id=cctv5
CCTV5+,http://live.nctv.top/JKHdjsi/migu.php?id=cctv5p鈦�
CCTV6,http://live.nctv.top/JKHdjsi/migu.php?id=cctv6
CCTV7,http://live.nctv.top/JKHdjsi/migu.php?id=cctv7
CCTV8,http://live.nctv.top/JKHdjsi/migu.php?id=cctv8
CCTV9,http://live.nctv.top/JKHdjsi/migu.php?id=cctv9
CCTV10,http://live.nctv.top/JKHdjsi/migu.php?id=cctv10
CCTV11,http://live.nctv.top/JKHdjsi/migu.php?id=cctv11
CCTV12,http://live.nctv.top/JKHdjsi/migu.php?id=cctv12
CCTV13,http://live.nctv.top/JKHdjsi/migu.php?id=cctv13
CCTV14,http://live.nctv.top/JKHdjsi/migu.php?id=cctv14
CCTV15,http://live.nctv.top/JKHdjsi/migu.php?id=cctv15
CCTV16,http://www.erbao1981.top:8188/udp/239.76.246.98:1234
CCTV17,http://live.nctv.top/JKHdjsi/migu.php?id=cctv17
CCTV4-娆ф床,http://live.nctv.top/JKHdjsi/migu.php?id=cctv4o
CCTV4-缇庢床,http://live.nctv.top/JKHdjsi/migu.php?id=cctv4a
CHC瀹跺涵褰遍櫌,http://live.nctv.top/JKHdjsi/migu.php?id=chcjtyy
CHC鍔ㄤ綔鐢靛奖,http://live.nctv.top/JKHdjsi/migu.php?id=chcdzdy


CCTV4-娆ф床,rtsp://115.153.230.145/PLTV/88888888/224/3221226964/77799053.smil
CCTV4-缇庢床,rtsp://115.153.230.145/PLTV/88888888/224/3221226962/77799052.smil

CCTV4-娆ф床,http://www.erbao1981.top:8188/udp/239.76.246.95:1234
CCTV4-缇庢床,http://www.erbao1981.top:8188/udp/239.76.246.96:1234


CCTV绗竴鍓у満,rtsp://115.153.230.145/PLTV/88888888/224/3221226961/86128891.smil
CCTV椋庝簯鍓у満,rtsp://115.153.230.145/PLTV/88888888/224/3221226963/86128874.smil
CCTV鎬€鏃у墽鍦�,rtsp://115.153.230.145/PLTV/88888888/224/3221226996/86128881.smil
CCTV椋庝簯瓒崇悆,rtsp://115.153.230.145/PLTV/88888888/224/3221227000/86128919.smil
CCTV鐢佃鎸囧崡,rtsp://115.153.230.145/PLTV/88888888/224/3221226969/86129034.smil
CCTV鍏靛櫒绉戞妧,rtsp://115.153.230.145/PLTV/88888888/224/3221227004/86132185.smil
CCTV澶鍙扮悆,rtsp://115.153.230.145/PLTV/88888888/224/3221226955/861081.smil
CCTV澶鏂囧寲绮惧搧,rtsp://115.153.230.145/PLTV/88888888/224/3221226957/86128679.smil
CCTV涓栫晫鍦扮悊,rtsp://115.153.230.145/PLTV/88888888/224/3221226965/86128966.smil
CCTV濂虫€ф椂灏�,rtsp://115.153.230.145/PLTV/88888888/224/3221226998/86128978.smil
CCTV楂樺皵澶綉鐞�,rtsp://115.153.230.145/PLTV/88888888/224/3221226967/86128985.smil
CCTV椋庝簯闊充箰,rtsp://115.153.230.145/PLTV/88888888/224/3221226994/86128897.smil

CCTV1,http://ycsj.aguihome.com:4022/rtp/233.50.201.118:5140
CCTV2,http://ycsj.aguihome.com:4022/rtp/233.50.201.119:5140
CCTV3,http://ycsj.aguihome.com:4022/rtp/233.50.201.196:5140
CCTV4,http://ycsj.aguihome.com:4022/rtp/233.50.200.101:5140
CCTV5,http://ycsj.aguihome.com:4022/rtp/233.50.201.197:5140
